municipality_id,district_id,municipality_name,number_of_wards
1,1,Shadanand,14
2,1,Bhojpur,12
3,1,Hatuwagadhi,9
4,1,Ramprasad Rai,8
5,1,Aamchok,10
6,1,Tyamke Maiyum,9
7,1,Arun,7
8,1,Pauwadungma,6
9,1,Salpasilichho,6
10,2,Dhankuta,10
11,2,Pakhribas,10
12,2,Mahalaxmi,9
13,2,Sangurigadhi,10
14,2,Chaubise,8
15,2,Sahidbhumi,7
16,2,Chhathar Jorpati,6
17,3,Suryodaya,14
18,3,Ilam,12
19,3,Deumai,9
20,3,Maijogmai,6
21,3,Phakphokthum,7
22,3,Mai,10
23,3,Chulachuli,6
24,3,Rong,6
25,3,Mangsebung,6
26,3,Sandakpur,5
27,4,Mechinagar,15
28,4,Birtamod,10
29,4,Damak,10
30,4,Bhadrapur,10
31,4,Shivasatakshi,11
32,4,Arjundhara,11
33,4,Gauradaha,9
34,4,Kankai,9
35,4,Kamal,7
36,4,Buddha Shanti,7
37,4,Kachankawal,7
38,4,Jhapa,7
39,4,Barhadashi,7
40,4,Gaurigunj,6
41,4,Haldibari,5
42,5,Diktel Rupakot Majhuwagadhi,15
43,5,Halesi Tuwachung,11
44,5,Khotehang,9
45,5,Diprung Chuichumma,7
46,5,Aiselukharka,7
47,5,Jantedhunga,6
48,5,Kepilasgadhi,7
49,5,Barahpokhari,6
50,5,Rawa Besi,6
51,5,Sakela,5
52,6,Sundar Haraicha,12
53,6,Belbari,11
54,6,Pathari Shanischare,10
55,6,Ratuwamai,10
56,6,Urlabari,9
57,6,Rangeli,9
58,6,Sunawarshi,9
59,6,Letang,9
60,6,Biratnagar,19
61,6,Jahada,7
62,6,Budi Ganga,7
63,6,Katahari,7
64,6,Dhanpalthan,7
65,6,Kanepokhari,7
66,6,Gramthan,7
67,6,Kerabari,10
68,6,Miklajung,9
69,7,Siddhicharan,12
70,7,Khiji Demba,9
71,7,Chisankhugadhi,8
72,7,Molung,8
73,7,Sunkoshi,10
74,7,Champadevi,10
75,7,Manebhanjyang,9
76,7,Likhu,9
77,8,Phidim,14
78,8,Miklajung,8
79,8,Phalgunanda,7
80,8,Hilihang,7
81,8,Phalelung,8
82,8,Yangwarak,6
83,8,Kummayak,5
84,8,Tumbewa,5
85,9,Khandbari,11
86,9,Chainpur,11
87,9,Dharmadevi,9
88,9,Panchkhapan,9
89,9,Madi,9
90,9,Makalu,6
91,9,Silichong,5
92,9,Sabhapokhari,6
93,9,Chichila,5
94,9,BhotKhola,5
95,10,Solu Dudhkunda,11
96,10,Mapya Dudhkoshi,7
97,10,Necha Salyan,5
98,10,Thulung Dudhkoshi,9
99,10,Maha Kulung,5
100,10,Sotang,5
101,10,Khumbu PasangLhamu,5
102,10,Likhu Pike,5
103,11,BarahaKshetra,11
104,11,Inaruwa,10
105,11,Duhabi,12
106,11,Ramdhuni,9
107,11,Itahari,20
108,11,Dharan,20
109,11,Koshi,8
110,11,Harinagar,7
111,11,Bhokraha Narsingh,8
112,11,Dewangunj,7
113,11,Gadhi,6
114,11,Barju,6
115,12,Phungling,11
116,12,Sirijangha,8
117,12,Aathrai Triveni,5
118,12,Pathibhara Yangwarak,6
119,12,Meringden,6
120,12,Sidingwa,7
121,12,Phaktanglung,7
122,12,Maiwa Khola,6
123,12,Mikwa Khola,5
124,13,Myanglung,10
125,13,Laligurans,9
126,13,Aathrai,7
127,13,Phedap,5
128,13,Chhathar,6
129,13,Menchayayem,6
130,14,Triyuga,16
131,14,Katari,14
132,14,Chaudandigadhi,10
133,14,Belaka,9
134,14,Udayapurgadhi,8
135,14,Rautamai,8
136,14,Tapli,5
137,14,Limchungbung,5
138,15,Birgunj,32
139,15,Bahudarmai,9
140,15,Parsagadhi,9
141,15,Pokhariya,10
142,15,Bindabasini,5
143,15,Dhobini,5
144,15,Chhipaharmai,5
145,15,Jagarnathpur,6
146,15,Jirabhawani,5
147,15,Kalikamai,5
148,15,Pakaha Mainpur,5
149,15,Paterwa Sugauli,5
150,15,Sakhuwa Prasauni,6
151,15,Thori,5
152,16,Kalaiya,27
153,16,Jitpur Simara,24
154,16,Kolhabi,11
